,usdtbtc,usdtbtc,usdtbtc,usdtbtc,usdtbtc,usdtbtc,usdtbtc,usdtbtc,usdtetc,usdtetc,usdtetc,usdtetc,usdtetc,usdtetc,usdtetc,usdtetc,usdteth,usdteth,usdteth,usdteth,usdteth,usdteth,usdteth,usdteth,usdtltc,usdtltc,usdtltc,usdtltc,usdtltc,usdtltc,usdtltc,usdtltc,usdtxmr,usdtxmr,usdtxmr,usdtxmr,usdtxmr,usdtxmr,usdtxmr,usdtxmr,usdtxrp,usdtxrp,usdtxrp,usdtxrp,usdtxrp,usdtxrp,usdtxrp,usdtxrp,usdtzec,usdtzec,usdtzec,usdtzec,usdtzec,usdtzec,usdtzec,usdtzec,fiat,fiat,fiat
,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,open,high,low,close,volume,prev_position,position,amount,prev_position,position,amount
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-15 00:00:00,4310.92800002,4342.99999999,4310.92800001,4331.64957436,168.02387247,0,0,0E-8,13.94000016,14.13199611,13.94000016,13.97435927,1123.51796522,0,0,0E-8,298.06000000,299.48000000,297.57840000,297.57850000,110.47326077,0,0,0E-8,45.40199831,45.59269999,45.38112000,45.40199828,632.68396064,0,0,0E-8,49.78000000,49.91679830,49.40731152,49.52771692,283.56733627,0,0,0E-8,0.16769999,0.16769999,0.16610005,0.16680000,108321.67388056,0,0,0E-8,210.32900000,210.54127555,206.10000000,206.71830000,160.73363201,0,0,0E-8,1,1,100.00000000
2017-08-15 00:30:00,4335.00000000,4358.03000000,4316.47090882,4334.00000000,175.23691532,0,0,0E-8,13.98000002,13.99271340,13.87030025,13.90000001,378.59708602,0,0,0E-8,297.57850000,298.50000000,296.20014296,296.84231501,113.12696321,0,0,0E-8,45.40199830,45.45854386,44.84555857,45.00000000,1312.42911766,0,0,0E-8,49.97628040,50.05090725,49.70938910,49.82704370,159.37128641,0,0,0E-8,0.16680000,0.16749887,0.16615000,0.16664977,70444.55904749,0,0,0E-8,206.71830000,206.92440000,205.92439999,206.10000002,16.76415005,0,0,0E-8,1,1,100.00000000
2017-08-15 01:00:00,4333.00000001,4348.99999999,4326.17535782,4338.00000029,59.98329556,0,0,0E-8,13.97672975,13.97672975,13.82868936,13.83000001,879.24673035,0,0,0E-8,296.12325000,296.84231500,295.90000001,296.00200001,346.29565111,0,0,0E-8,44.83000000,45.03469973,44.73677422,45.00000000,623.06262425,0,0,0E-8,49.88396339,50.09978247,49.79011077,49.95400001,103.21978507,0,0,0E-8,0.16664941,0.16719932,0.16600000,0.16699999,61743.67960983,0,0,0E-8,207.13049999,207.54269988,205.48042557,205.48042558,10.91997980,0,0,0E-8,1,1,100.00000000
2017-08-15 01:30:00,4338.00000030,4365.01010101,4331.47281136,4365.01010099,98.20056070,0,0,0E-8,13.83000001,13.94579832,13.75000000,13.78500000,1669.75324828,0,0,0E-8,296.84231496,296.84231496,293.00000000,293.99993000,750.47976560,0,0,0E-8,45.03470000,45.09019999,44.74999999,44.90000000,397.70199508,0,0,0E-8,49.95400000,50.02990903,49.47497848,49.50000000,77.45154527,0,0,0E-8,0.16721481,0.16730000,0.16610010,0.16650001,59583.42549361,0,0,0E-8,205.15000000,207.54269724,204.90543532,205.15060367,100.62045229,0,0,0E-8,1,1,100.00000000
2017-08-15 02:00:00,4365.00000000,4408.95395043,4365.00000000,4385.00000000,318.81952683,0,0,0E-8,13.75000000,13.78500000,13.50000000,13.64028080,7272.54358267,0,0,0E-8,293.99993000,294.74829975,290.50000000,293.40000000,1480.96483825,0,0,0E-8,44.74999999,44.92452283,44.40000001,44.50000000,5034.21368486,0,0,0E-8,49.47497848,50.25564038,49.47497848,49.78001902,286.73152197,0,0,0E-8,0.16729850,0.16729850,0.15800001,0.16279981,2184769.20354488,0,0,0E-8,204.86042466,206.15000000,204.00000133,204.62842901,56.45652550,0,0,0E-8,1,1,100.00000000
2017-08-15 02:30:00,4385.00000000,4410.00000000,4375.93385830,4399.99999900,223.34622949,0,0,0E-8,13.64028241,13.64028241,13.47924316,13.49999944,904.49851857,0,0,0E-8,293.99999996,293.99999996,291.00056001,293.00000000,609.38456442,0,0,0E-8,44.49000000,44.59999861,44.30000000,44.44999907,874.65146704,0,0,0E-8,50.16999971,50.17000000,49.78001706,49.88570132,61.94017551,0,0,0E-8,0.16250000,0.16343039,0.16040017,0.16163426,391020.57255694,0,0,0E-8,204.77999997,206.14336575,204.00000000,206.14336572,92.61620151,0,0,0E-8,1,1,100.00000000
2017-08-15 03:00:00,4399.99999900,4410.00000002,4379.13000000,4407.31942184,162.13883317,0,0,0E-8,13.47924317,13.70699994,13.45260201,13.70699994,1056.81839903,0,0,0E-8,293.59999982,293.59999995,291.00000000,292.49060999,843.71036917,0,0,0E-8,44.44999828,44.59999895,44.20000000,44.59999891,436.38410796,0,0,0E-8,49.96274489,49.96274489,49.00000000,49.28346136,46.12334184,0,0,0E-8,0.16131109,0.16380000,0.16040024,0.16379998,161035.18261068,0,0,0E-8,204.68099032,206.41799989,203.10000000,203.50620000,181.49002199,0,0,0E-8,1,1,100.00000000
2017-08-15 03:30:00,4407.31942183,4426.00000000,4395.00000000,4395.00000000,185.31667965,0,0,0E-8,13.68899998,13.68899998,13.50000000,13.53448858,1381.54515799,0,0,0E-8,292.49046999,292.49046999,290.65260793,291.99985999,409.95689746,0,0,0E-8,44.59999847,44.59999847,44.00000000,44.19999989,1004.44152568,0,0,0E-8,49.34999958,49.35000000,48.95289120,48.95289121,510.85384921,0,0,0E-8,0.16379998,0.16379998,0.16170000,0.16268382,176609.39824389,0,0,0E-8,203.10000000,204.00000000,202.49999999,202.49999999,54.23312840,0,0,0E-8,1,1,100.00000000
